Set list,Set list 2,IMAGE NAME,SUBCATEGORY,NOTES,LOCATION IF AVAILABLE,MACRO,IMAGE ADDRESS,COPYRIGHT STATUS,IMAGE SIZE,Width,Height,DATE ADDED,DATE TAKEN,EXIF INFO AVAILABLE,FLICKR USERNAME,FLICKR URL,SEARCH PROTOCOL FOLLOWED 
1,10,control_001,Control,city skyline,New York City,Landscape,https://live.staticflickr.com/4509/26287339629_7264d4f411_o.jpg,CC0,4812 x 3556,4812,3556,15/05/2023,08/04/2017,Yes,Bruce.Emmerling,New York City | Bruce.Emmerling | Flickr,Yes
2,10,control_002,Control,city buildings,Not given,Landscape,https://live.staticflickr.com/232/486714876_bd954511a4_o.jpg,CC0,2560 x 1920,2560,1920,15/05/2023,18/03/2005,Yes,Nicolas Vigier,P3180028 | Nicolas Vigier | Flickr,Yes
2,8,control_005,Control,"city buildings, water",Sydney,Landscape,https://live.staticflickr.com/579/21301509972_cb6afe4fca_o.jpg,CC0,3282 x 2030,3282,2030,15/05/2023,27/08/2015,Yes,Bernard Spragg,Sydney Skyline from Darling Harbour. | More than 18 major of… | Flickr,Yes
2,6,control_014,Control,"city street, buildings, car, bridge",New Taipei City,Landscape,https://live.staticflickr.com/1576/24543448941_e73d8e5832_o.jpg,CC0,4797 x 3203,4797,3203,15/05/2023,10/01/2016,Yes,Nicolas Vigier,New Taipei City | Nicolas Vigier | Flickr,Yes
3,9,control_015,Control,"street, building at back, cars","Buffalo, New York",Landscape,https://live.staticflickr.com/8367/8592118741_92b5c571e2_o.jpg,CC0,4000 x 3000,4000,3000,15/05/2023,25/02/2013,No,Daniel Lobo,Buffalo NY | Daniel Lobo | Flickr,Yes
5,7,control_019,Control,"city buildings, skyscrapers",Not given,Landscape,https://live.staticflickr.com/4393/36721775453_5861db56b1_o.jpg,CC0,5184 x 3888,5184,3888,15/05/2023,18/09/2017,Yes,franck injapan,20170918_163213-01 | franck injapan | Flickr,Yes
1,10,control_021,Control,"street, building, cars",China Town,Landscape,https://live.staticflickr.com/4615/39141640685_00804a1a70_o.jpg,CC0,1632 x 1224,1632,1224,15/05/2023,31/01/2018,Yes,Bus Ticket Collector PBPA,AAB Bus Lines Inc. 8977 | paakyat ng Jones Bridge galing Chi… | Flickr,Yes
4,8,control_022,Control,tall buildings,Miami,Landscape,https://live.staticflickr.com/7905/33600557968_29c055cca8_o.jpg,CC0,5312 x 2988,5312,2988,15/05/2023,23/02/2019,No,Werner Bayer,Miami City-3 | Miami [mi.ja.mi]3 (en anglais [maɪˈæmi]4 ou [… | Flickr,Yes
3,6,control_023,Control,"city scape, roads",Not given,Landscape,https://live.staticflickr.com/5691/21612061445_7fbd491491_o.jpg,CC0,5814 x 3456,5814,3456,15/05/2023,02/10/2011,Yes,Michael Tieso,IMG_3744.jpg | Michael Tieso | Flickr,Yes
5,7,control_026,Control,"busy street with cars, sunset, buildings",Vancouver,Landscape,https://live.staticflickr.com/662/22360351065_3b23df5daf_o.jpg,CC0,5312 x 2988,5312,2988,15/05/2023,21/10/2015,Yes,Roland Tanglao,fab golden hour over the viaduct this morning! 20151021_07… | Flickr,Yes
2,7,control_027,Control,"highway, cars, buildings",China,Landscape,https://live.staticflickr.com/4447/37650532251_231c2f8a0c_o.jpg,CC0,4032 x 3024,4032,3024,15/05/2023,12/10/2017,Yes,pentium_six,China 2017 | Went to China for a visit earlier this year. To… | Flickr,Yes
2,8,control_028,Control,"side street, buildings",New York,Landscape,https://live.staticflickr.com/4514/37171697183_65ffa91b82_o.jpg,CC0,5764 x 3843,5764,3843,15/05/2023,21/10/2017,Yes,Robbie Noble,"W 15th St - New York, NY | Robbie Noble | Flickr",Yes
4,7,control_029,Control,"modern city buildings, train line",Malaysia,Landscape,https://live.staticflickr.com/4887/46782874232_5b883333a1_o.jpg,CC0,4293 x 2076,4293,2076,15/05/2023,22/01/2019,Yes,Dennis Sylvester Hurd,Converge | dennissylvesterhurd.blogspot.com/2019/01/kl-is-in… | Flickr,Yes
3,9,control_030,Control,"road, old buildings, cars",Burnt Oak Broadway,Landscape,https://live.staticflickr.com/4064/4385620160_5a2210beab_o.jpg,CC0,1600 x 1200,1600,1200,15/05/2023,24/02/2010,Yes,David Howard,Burnt Oak Broadway | On my way to make a video | David Howard | Flickr,Yes
3,10,control_031,Control,"highway, buildings/apartments?",China,Landscape,https://live.staticflickr.com/4446/37617578812_4c1198884d_o.jpg,CC0,5879 x 3919,5879,3919,15/05/2023,12/10/2017,Yes,pentium_six,China 2017 | Went to China for a visit earlier this year. To… | Flickr,Yes
1,10,control_033,Control,"city street, skyscrapers",Madrid,Landscape,https://live.staticflickr.com/930/40792119984_3b5599be64_o.jpg,CC0,4869 x 3250,4869,3250,15/05/2023,16/04/2018,No,Nicolas Vigier,Madrid | Nicolas Vigier | Flickr,Yes
3,6,control_034,Control,"street, building, cars",North Carolina,Landscape,https://live.staticflickr.com/949/27224609457_720a01d805_o.jpg,CC0,3264 x 2448,3264,2448,15/05/2023,29/07/2017,No,Warren LeMay,"Old Federal Building, Raleigh, NC | This Second Empire-style… | Flickr",Yes
2,7,control_035,Control,"overview of city buildings, streets visible",Not given,Landscape,https://live.staticflickr.com/4747/28191507429_05a4e5a0a4_o.jpg,CC0,4369 x 2164,4369,2164,15/05/2023,29/01/2018,Partly,Dennis Borup Jakobsen,Aarhus Panorama | foto: Dennis Borup Jakobsen | SmartDrones Aarhus | Flickr,Yes
2,6,control_038,Control,city skyline,Beijing,Landscape,https://live.staticflickr.com/7385/9862051954_9c46b2e20d_o.jpg,CC0,4752 x 3168,4752,3168,15/05/2023,26/10/2009,Yes,Gary Todd,Jingshan View of Central Business District | 2009 visit. Com… | Flickr,Yes
4,8,control_039,Control,"city buildings, skyscrapers",Melbourne,Landscape,https://live.staticflickr.com/4574/38101981176_d29018f2a7_o.jpg,CC0,2048 x 1536,2048,1536,15/05/2023,10/09/2017,Yes,Caroline Jones,"City view, Melbourne | Caroline Jones | Flickr",Yes
4,6,control_041,Control,city skyline,Vancouver,Landscape,https://live.staticflickr.com/8565/28518132761_08a1923dc4_o.jpg,CC0,4752 x 3168,4752,3168,15/05/2023,12/06/2016,Yes,Michael Gardiner,_MG_5481 | Vancouver Lookout - Vancouver | Michael Gardiner | Flickr,Yes
5,7,control_042,Control,"highway, buildings in back",South Bay,Landscape,https://live.staticflickr.com/8373/8422891468_0187742090_o.jpg,CC0,4000 x 3000,4000,3000,15/05/2023,11/12/2012,No,Daniel Lobo,South Bay | Daniel Lobo | Flickr,Yes
2,9,control_044,Control,city skyline,Milano,Landscape,https://live.staticflickr.com/595/32068859992_58d6e46450_o.jpg,CC0,4820 x 3218,4820,3218,15/05/2023,09/01/2017,No,Nicolas Vigier,Milano | Nicolas Vigier | Flickr,Yes
5,8,control_045,Control,city skyline,Not given,Landscape,https://live.staticflickr.com/3746/19075976121_637400fafd_o.jpg,CC0,3888 x 2592,3888,2592,15/05/2023,10/05/2007,No,qingdaoabove083,qingdaoabove083 | ╬ಠ益ಠ) | Flickr,Yes
5,8,control_047,Control,"city buildings, trees, sunset",Not given,Landscape,https://live.staticflickr.com/7468/16001687007_2b307011b6_o.jpg,CC0,4608 x 3456,4608,3456,15/05/2023,27/12/2014,Yes,Mike Linksvayer,DSCN0627 | Mike Linksvayer | Flickr,Yes
3,8,control_051,Control,city buildings from window,Not given,Landscape,https://live.staticflickr.com/7887/46590884064_67d50fa579_o.jpg,CC0,4580 x 2676,4580,2676,15/05/2023,08/03/2019,Yes,Dennis Sylvester Hurd,Test of New SD Card (But I Saved It) | I just aimed the came… | Flickr,Yes
4,7,control_053,Control,"river, modern buildings in back",London,Landscape,https://live.staticflickr.com/3716/19754147153_d6097c55ce_o.jpg,CC0,3264 x 2448,3264,2448,15/05/2023,07/03/2015,Yes,D-15 Photography,city | D - 15 photography | Flickr,Yes
3,9,control_056,Control,downview on city buildings,New York,Landscape,https://live.staticflickr.com/723/33130256341_e12c9ca0a7_o.jpg,CC0,1600 x 1200,1600,1200,15/05/2023,08/10/2009,Yes,Burnt Pineapple Productions,NY skyline | burntpineappletextures.blogspot.com/ | Burnt Pineapple Productions | Flickr,Yes
1,7,control_058,Control,city skyline,Seattle,Landscape,https://live.staticflickr.com/5701/30687728316_e206760b74_o.jpg,CC0,2046 x 1364,2046,1364,15/05/2023,01/11/2016,Yes,Steve Ginn,View from Queen Anne Hill Seattle | Space Needle and downtow… | Flickr,Yes
2,9,control_059,Control,tall city buildings,Chicago,Landscape,https://live.staticflickr.com/8825/29359979023_4e7d7e35d4_o.jpg,CC0,3888 x 2592,3888,2592,15/05/2023,11/09/2016,Yes,Nuria,"Silueta urbana de Chicago | Chicago, 11 de setembre de 2016 | Flickr",Yes
1,9,control_061,Control,"waterfront, skyline, buildings",Philadelphia,Landscape,https://live.staticflickr.com/1966/43703487850_78c18a8773_o.jpg,CC0,4500 x 1655,4500,1655,15/05/2023,23/09/2017,Yes,Bruce.Emmerling,Philadephia Waterfront | Bruce.Emmerling | Flickr,Yes
4,9,control_063,Control,city buildings/apartments,Shanghai,Landscape,https://live.staticflickr.com/2808/10179397825_2373ca9d32_o.jpg,CC0,3888 x 2592,3888,2592,15/05/2023,22/08/2008,Yes,Gary Todd,"Shanghai | Shanghai, 2008. Complete indexed photo collection… | Flickr",Yes
1,10,control_066,Control,"overview of city buildings, streets visible",Toronto,Landscape,https://live.staticflickr.com/4730/38503359995_d46b06e3b7_o.jpg,CC0,5472 x 3648,5472,3648,15/05/2023,30/10/2017,No,Daniel Lobo,Toronto | Daniel Lobo | Flickr,Yes
3,7,control_067,Control,"widescope of city, highway in middle",Japan,Landscape,https://live.staticflickr.com/1739/41982469074_1c14e246d0_o.jpg,CC0,5509 x 2305,5509,2305,15/05/2023,06/02/2018,Yes,Romain Guy,Towering | Romain Guy | Flickr,Yes
2,10,control_071,Control,"building lined street, cars",New York City,Landscape,https://live.staticflickr.com/905/39864260430_6cb4f9c278_o.jpg,CC0,1920 x 1151,1920,1151,15/05/2023,04/11/2017,Yes,Bruce.Emmerling,New York City | Bruce.Emmerling | Flickr,Yes
5,6,control_073,Control,widescope of city,Not given,Landscape,https://live.staticflickr.com/4665/39355708334_20c27ca91d_o.jpg,CC0,5864 x 2561,5864,2561,15/05/2023,03/02/2018,No,Dennis Borup Jakobsen,Frederiks Plads | Frederiks Plads & Aarhus City Tower. foto:… | Flickr,Yes
1,9,control_074,Control,"city skyline, trees",Kuala Lumpur,Landscape,https://live.staticflickr.com/7873/47089004551_1bd6ede919_o.jpg,CC0,3264 x 2315,3264,2315,15/05/2023,14/02/2019,Yes,Dennis Sylvester Hurd,Some Clouds | Dennis Sylvester Hurd | Flickr,Yes
5,7,control_076,Control,"city street view, cars",Not given,Landscape,https://live.staticflickr.com/1923/44553355975_27d1956dec_o.jpg,CC0,4160 x 6240,4160,6240,15/05/2023,14/10/2018,Yes,mine33NY,IMG_1513_DxO | mine33NY | Flickr,Yes
4,9,control_078,Control,"car park, city skyline in back",Not given,Landscape,https://live.staticflickr.com/7777/18110706565_d5e0e8c1f2_o.jpg,CC0,4928 x 3264,4928,3264,15/05/2023,24/05/2015,Yes,natsu Hatsu,COOLPIX A - lens test | Thank you very much for looking at m… | Flickr,Yes
4,6,control_079,Control,"office buildings, street","Tokyo, Japan",Landscape,https://live.staticflickr.com/65535/51947430350_c9d7f22c11_o.jpg,CC0,3072 X 4095,3072,4095,15/05/2023,26/02/2022,Yes,DLKR,"Aging Office Buildings, Tokyo, Japan | Pedestrians crossing … | Flickr",Yes
3,6,control_080,Control,street,"Tokyo, Japan",Landscape,https://live.staticflickr.com/65535/51970886814_5be066d0d2_o.jpg,CC0,4096 x 3072,4096,3072,15/05/2023,11/03/2022,Yes,DLKR,"Daytime Street, Tokyo, Japan | Looking down a typical street… | Flickr",Yes
2,10,control_081,Control,"river, buildings in back",Melbourne,Landscape,https://live.staticflickr.com/5629/22115562453_3feb40aced_o.jpg,CC0,3874 x 2428,3874,2428,15/05/2023,03/09/2015,Yes,Bernard Spragg,"Melbourne and the Yarra River. | Melbourne, Victoria’s coast… | Flickr",Yes
4,10,control_086,Control,view down street,Not given,Landscape,https://live.staticflickr.com/3614/3606696658_bc2de69f8b_o.jpg,CC0,3264 x 2448,3264,2448,15/05/2023,09/05/2009,Yes,Chiara Coetzee,Looking down street | CC0 waiver: To the extent possible und… | Flickr,Yes
1,6,control_087,Control,"street, cars, buildings",Not given,Landscape,https://live.staticflickr.com/5712/22526597247_501116d55a_o.jpg,CC0,4000 x 3000,4000,3000,15/05/2023,20/11/2014,No,Daniel Lobo,H Street | Daniel Lobo | Flickr,Yes
3,6,control_088,Control,"street view, buildings, cars",Hong Kong,Landscape,https://live.staticflickr.com/7536/27350333492_995edf9d60_o.jpg,CC0,2400 x 1417,2400,1417,15/05/2023,16/03/2019,Yes,Bernard Spragg,"City Canyon Hong Kong. | Hong Kong is a city, and former Bri… | Flickr",Yes
1,9,control_091,Control,old house street,Chester,Landscape,https://live.staticflickr.com/4603/40275862111_f66e1f8671_o.jpg,CC0,4419 x 2484,4419,2484,15/05/2023,06/10/2015,Yes,Terry Kearney,Priory Place Chester | Row of 5 cottages. Dated 1898. Built … | Flickr,Yes
5,8,control_092,Control,"car park, buildings",Ohio,Landscape,https://live.staticflickr.com/829/28224071168_fe1149c21b_o.jpg,CC0,3264 x 2448,3264,2448,15/05/2023,28/09/2017,Yes,Warren LeMay,"Encore from 7th Street, Cincinnati, OH | This new condo towe… | Flickr",Yes
1,10,control_093,Control,"street, houses, cars",Kentucky,Landscape,https://live.staticflickr.com/975/28223867888_83f98da76d_o.jpg,CC0,3264 x 2448,3264,2448,15/05/2023,11/01/2017,No,Warren LeMay,"3rd Street, Licking Riverside, Covington, KY | This is one o… | Flickr",Yes
3,8,control_094,Control,trams on street,Not given,Landscape,https://live.staticflickr.com/765/23011454736_4226d555a9_o.jpg,CC0,6016 x 4000,6016,4000,15/05/2023,23/06/2014,Yes,Image Catalog,Tram on Urban Street | License: Public Domain Dedication (CC… | Flickr,Yes
1,8,control_095,Control,"street, cars, buildings","Madrid, Spain",Landscape,https://live.staticflickr.com/1953/30324198877_a939f803eb_o.jpg,CC0,4896 x 3264,4896,3264,15/05/2023,08/03/2014,Yes,Terry Kearney,City Life | Madrid City Centre on a busy highway at to be at… | Flickr,Yes
5,7,control_096,Control,"street, pavement, side of building",Not given,Landscape,https://live.staticflickr.com/8137/30069241246_5d5f28e901_o.jpg,CC0,2848 x 4288,2848,4288,15/05/2023,26/11/2009,Yes,GuyDeckerStudio,Howard Street | GuyDeckerStudio | Flickr,Yes
4,7,control_097,Control,"wide street, building-lined",Not given,Landscape,https://live.staticflickr.com/3870/14485102670_fd00b03422_o.jpg,CC0,2048 x 1536,2048,1536,15/05/2023,12/07/2014,Yes,Konstandin Minga,Can I use this photo? Read here for more informations. | Flickr,Yes
3,6,control_098,Control,"old street, car, building",Ohio,Landscape,https://live.staticflickr.com/982/27228536917_caaea39e78_o.jpg,CC0,3264 x 2448,3264,2448,15/05/2023,17/09/2017,No,Warren LeMay,"Elm Street, Over-the-Rhine, Cincinnati, OH | These buildings… | Flickr",Yes
4,6,control_099,Control,high street,Not given,Landscape,https://live.staticflickr.com/8417/29475771904_1fbbe525e1_o.jpg,CC0,4288 x 2848,4288,2848,15/05/2023,14/11/2009,Yes,GuyDeckerStudio,Old Town Mall | GuyDeckerStudio | Flickr,Yes
2,10,control_100,Control,"side street, car, bikes, buildings",Amsterdam,Landscape,https://live.staticflickr.com/5541/12075595544_9149b17189_o.jpg,CC0,4724 x 3543,4724,3543,15/05/2023,12/04/2013,No,Fons Heijnsbroek,"2013.04 - 'Streetview of a small neighborhood', with resid… | Flickr",Yes
1,9,control_101,Control,"street, building",Ohio,Landscape,https://live.staticflickr.com/946/27227684497_08380f2b33_o.jpg,CC0,3264 x 2448,3264,2448,16/05/2023,17/10/2017,No,Warren LeMay,"8th Street, Lower Price Hill, Cincinnati, OH | This forlorn,… | Flickr",Yes
5,8,control_102,Control,"street, old buildings, cars","Dublin, Ireland",Landscape,https://live.staticflickr.com/4874/45644603315_4aeff999a0_o.jpg,CC0,4032 x 3024,4032,3024,16/05/2023,20/12/2018,No,Warren LeMay,"Thomas Street, Dublin, Éire | The city center of Dublin is f… | Flickr",Yes
4,8,control_103,Control,road to city,California,Landscape,https://live.staticflickr.com/8445/7839291686_fb3fe08845_o.jpg,CC0,4320 x 3240,4320,3240,16/05/2023,22/08/2012,Yes,Mike Linksvayer,P1020344 | Mike Linksvayer | Flickr,Yes
1,10,control_104,Control,"street, building","Washington, DC",Landscape,https://live.staticflickr.com/823/28221199678_48a9e797d9_o.jpg,CC0,3264 x 2448,3264,2448,16/05/2023,15/03/2017,No,Warren LeMay,"Federal Triangle, Washington, DC | Home to many federal bure… | Flickr",Yes
5,6,control_105,Control,"street, building site",Ohio,Landscape,https://live.staticflickr.com/964/28224072098_3618022962_o.jpg,CC0,3264 x 2448,3264,2448,15/05/2023,28/09/2017,No,Warren LeMay,"Dennison Hotel Remnants, Main Street Historic District, Ci… | Flickr",Yes
5,7,control_106,Control,"street, building",Kentucky,Landscape,https://live.staticflickr.com/956/28222867588_ae785c4d4d_o.jpg,CC0,4032 x 3024,4032,3024,16/05/2023,02/09/2017,No,Warren LeMay,"Capital Plaza, Frankfort, KY | Frankfort was not immune to t… | Flickr",Yes
2,8,control_107,Control,"old buildings, cobble street",Ireland,Landscape,https://live.staticflickr.com/4851/45644481715_7cae8be999_b.jpg,CC0,4032 x 3024,4032,3024,16/05/2023,20/12/2018,No,Warren LeMay,"Essex Street, Dublin, Éire | The city center of Dublin is fu… | Flickr",Yes
